name,KEGG
CYCLO-PROLYLGLYCINE,
CYS-GLY,C01419
CYS-GLY+Na,C01419
CYS-GLY-NH3,C01419
CYSTEAMINE,C01678
CYSTEAMINE-H2O,C01678
CYTIDINE,C00475
"CYTIDINE 2',3'-CYCLIC MONO-PHOS-PHATE",C02354
"CYTIDINE 2',3'-CYCLIC MONO-PHOS-PHATE+Na",C02354
CYTIDINE 5'-DIPHOSPHOCHOLINE,C00307
CYTIDINE 5'-DIPHOSPHOCHOLINE+Na,C00307
CYTIDINE+Na,C00475
CYTOSINE,C00380
CYTOSINE+K,C00380
CYTOSINE+Na,C00380
DAMP,C00360
DAMP+Na,C00360
DEBRISOQUINE,C13650
DECANOATE-H2O,C01571
DECANOYLCARNITINE,      
DECANOYLCARNITINE+Na,      
DEFEROXAMIN,
DEHYDROCHOLIC ACID,      
DEHYDROCHOLIC ACID+Na,      
DEHYDROCHOLIC ACID-H2O,      
DEHYDRO-L-(+)-ASCORBIC ACID DIMER,C00425
DEHYDROLITHOCHOLIC ACID,C03070
DEOXYCARNITINE,C05543
DEOXYCARNITINE+Na,C05543
DEOXYCHOLIC ACID (DCA),C04483
DEOXYCHOLIC ACID (DCA)+Na,C04483
DEOXYCHOLIC ACID (DCA)-2H2O,NA
DEOXYCORTICOSTERONE ACETATE,C14554
DEOXYCYTIDINE,C00881
DEOXYCYTIDINE+K,C00881
DEOXYCYTIDINE+Na,C00881
DEOXYCYTIDINE+Na,C00881
DEOXYRIBOSE,C01801
DEOXYURIDINE,C00526
DEOXYURIDINE+Na,C00526
DEOXYURIDINE-H2O,C00526
DESMOSTEROL,C01802
DESMOSTEROL-H2O,C01802
DETHIOBIOTIN,C01909
DETHIOBIOTIN,C01909
DETHIOBIOTIN-H2O,C01909
DEXTROMETHORPHAN,C06947
D-FRUCTOSE,C01496
D-FRUCTOSE+K,C01496
D-FRUCTOSE+Na,C01496
D-FRUCTOSE-H2O,C01496
D-FUCOSE,
D-GALACTOSE+Na,C01582
D-GALACTOSE-H2O,C01582
D-GLUCONATE,C00257
D-GLUCONATE+K,C00257
D-GLUCONATE+Na,C00257
D-GLUCONATE-H2O,C00257
"D-GLUCONO-1,5-LACTONE",C00257
"D-GLUCONO-1,5-LACTONE+Na",C00257
"D-GLUCONO-1,5-LACTONE-H2O",C00257
D-GLUCOSAMINE 6-PHOSPHATE,C00352
D-GLUCOSAMINE 6-SULFATE,CA1422
D-GLUCOSAMINE 6-SULFATE+Na,CA1422
D-GLUCOSAMINE 6-SULFATE-H2O,CA1422
D-GLUCOSE 13C6,NA
D-GLUCOSE 6-PHOSPHATE,C00092
D-GLUCURONIC ACID+Na,C00191
D-GLUCURONIC ACID-H2O,C00191
D-GLUCURONOLACTONE,C00191
D-GLYCERIC ACID,C00258
D-GULONIC ACID GAMA-LACTONE,C00800
D-GULONIC ACID GAMA-LACTONE+Na,C00800
D-GULONIC ACID GAMA-LACTONE-H2O,C00800
DIBUTYL ADIPATE,NA
DIBUTYL ADIPATE+Na,NA
DIBUTYL PHTHALATE,C14214
DICYCLOEXYL PHTHALATE,NA
DIETHANOLAMINE,C06772
DIETHANOLAMINE+Na,C06772
DIETHYL 2-METHYL-3-OXOSUCCINATE,C04067
DIETHYL PHTHALATE (DEP),
DIETHYNORSPERMINE,
DIHYDROOROTATE,C00337
DIHYDROXYACETONE PHOSPHATE,C00111
DIHYDROXYMANDELIC ACID-H2O,C07470
DIHYDROXYQUINOINE,NA
DIISOBUTYLPHTHALATE,NA
DIMETHYL PTHALATE,
DIMETHYLARGININE,
DIMETHYLBENZIMIDAZOLE,C03114
DIMETHYLGUANOSINE,
Di-n-butyl pthalate (DBP),
DIPHENYLAMINE,C11016
Dipropyl phthalate,NA
Dipropyl phthalate (DPP),
Dipropylene glycol,NA
Dipropyleneglycol dibenzoate,NA
DISULFIRAM,C01692
D-LACTOSE,C00243
D-LACTOSE+Na,C00243
D-LACTOSE-H2O,C00243
D-MANNOSAMINE,C03570
D-MANNOSAMINE+K,C03570
D-MANNOSAMINE+Na,C03570
