name,KEGG
N-ACETYLALANINE+Na,null
N-ACETYLALANINE+2Na-H,null
N-ACETYLALANINE-dimer+Na,null
NORMETANEPHRINE+Na,C05589
NORMETANEPHRINE,C05589
NORMETANEPHRINE-dimer+Na,C05589
NORMETANEPHRINE-dimer,C05589
P-OCTOPAMINE+NH4,C04227
HOMOCYSTEINE THIOLACTONE,null
HOMOCYSTEINE THIOLACTONE+Na,null
GUANOSINE MONOPHOSPHATE,C00144
GUANOSINE MONOPHOSPHATE-dimer,C00144
GUANOSINE MONOPHOSPHATE+Na,C00144
CYCLIC GMP-dimer,C00942
CYCLIC GMP,C00942
CYCLIC GMP+Na,C00942
ADP-GLUCOSE,C00498
GALACTOSE 1-PHOSPHATE+K,C00446
GALACTOSE 1-PHOSPHATE+2Na-H,C00446
GALACTOSE 1-PHOSPHATE+Na,C00446
GALACTOSE 1-PHOSPHATE,C00446
GALACTOSE 1-PHOSPHATE+NH4,C00446
GALACTOSE 1-PHOSPHATE-dimer+Na,C00446
PHOSPHORYLCHOLINE-dimer,C00588
PHOSPHORYLCHOLINE,C00588
PHOSPHORYLCHOLINE-CH2,C00588
PHOSPHORYLCHOLINE-dimer+Na,C00588
PHOSPHORYLCHOLINE+Na,C00588
PHOSPHORYLCHOLINE-trimer,C00588
L-CARNITINE-dimer,C00318
L-CARNITINE-trimer,C00318
L-CARNITINE,C00318
L-CARNITINE+Na,C00318
O-ACETYLSERINE,C00979
O-ACETYLSERINE+Na,C00979
MANNOSE 6-PHOSPHATE+Na,C00275
MANNOSE 6-PHOSPHATE-dimer+Na,C00275
MANNOSE 6-PHOSPHATE,C00275
MANNOSE 6-PHOSPHATE-dimer,C00275
PUTRESCINE,C00134
DEOXYCARNITINE+Na,C01181
DEOXYCARNITINE-dimer,C01181
DEOXYCARNITINE,C01181
DEOXYCARNITINE-CH2,C01181
O-PHOSPHOETHANOLAMINE,C00346
O-PHOSPHOETHANOLAMINE+2Na-H,C00346
O-PHOSPHOETHANOLAMINE-dimer+Na,C00346
O-PHOSPHOETHANOLAMINE-trimer,C00346
O-PHOSPHOETHANOLAMINE-dimer,C00346
O-PHOSPHOETHANOLAMINE+Na,C00346
3-NITRO-L-TYROSINE,null
"N,N-DIMETHYLARGININE+Na",C03626
"N,N-DIMETHYLARGININE-dimer",C03626
"N,N-DIMETHYLARGININE",C03626
5-METHYLCYTOSINE+Na,C02376
5-METHYLCYTOSINE-Dimer,C02376
5-METHYLCYTOSINE,C02376
5-METHYLCYTOSINE-Dimer+Na,C02376
5-METHYLCYTOSINE+K,C02376
OROTATE,C00295
PYRIDOXAMINE+2Na,C00534
PYRIDOXAMINE,C00534
DEOXYGUANOSINE-dimer+Na,C00330
DEOXYGUANOSINE,C00330
DEOXYGUANOSINE-dimer,C00330
DEOXYGUANOSINE+K,C00330
DEOXYGUANOSINE+Na,C00330
3-PHOSPHOGLYCERATE+Na,C00597
3-PHOSPHOGLYCERATE-dimer,C00597
3-PHOSPHOGLYCERATE+NH4,C00597
3-PHOSPHOGLYCERATE,C00597
XANTHOSINE-MONOPHOSPHATE-dimer,C00655
XANTHOSINE-MONOPHOSPHATE,C00655
XANTHOSINE-MONOPHOSPHATE+Na,C00655
L-ORNITHINE+K,C00077
L-ORNITHINE,C00077
L-ORNITHINE+2Na-H,C00077
L-ORNITHINE+Na,C00077
L-ORNITHINE-dimer+3Na-2H,C00077
O-ACETYLCARNITINE+Na,C02571
O-ACETYLCARNITINE-dimer,C02571
O-ACETYLCARNITINE,C02571
